Year,Winner,Competition,Dogs eaten,Country,New record
1980,Paul Siederman & Joe Baldini,Mens,9.1,United States,0
1981,Thomas DeBerry ,Mens,11,United States,0
1982,Steven Abrams ,Mens,11,United States,0
1983,Luis Llamas ,Mens,19.5,Mexico,0
1984,Birgit Felden ,Mens,9.5,Germany,0
1985,Oscar Rodriguez ,Mens,11.75,United States,0
1986,Mark Heller ,Mens,15.5,United States,0
1987,Don Wolfman ,Mens,12,United States,0
1988,Jay Green ,Mens,14,United States,0
1989,Jay Green ,Mens,13,United States,0
1990,Mike DeVito ,Mens,16,United States,0
1991,Frank Dellarosa ,Mens,21.5,United States,1
1992,Frank Dellarosa ,Mens,19,United States,0
1993,Mike DeVito ,Mens,17,United States,0
1994,Mike DeVito ,Mens,20,United States,0
1995,Edward Krachie ,Mens,19.5,United States,0
1996,Edward Krachie ,Mens,22.25,United States,1
1997,Hirofumi Nakajima ,Mens,24.5,Japan,1
1998,Hirofumi Nakajima ,Mens,19,Japan,0
1999,Steve Keiner ,Mens,20.25,United States,0
2000,Kazutoyo Arai ,Mens,25.13,Japan,1
2001,Takeru Kobayashi ,Mens,50,Japan,1
2002,Takeru Kobayashi ,Mens,50.5,Japan,1
2003,Takeru Kobayashi ,Mens,44.5,Japan,0
2004,Takeru Kobayashi ,Mens,53.5,Japan,1
2005,Takeru Kobayashi ,Mens,49,Japan,0
2006,Takeru Kobayashi ,Mens,53.75,Japan,1
2007,Joey Chestnut ,Mens,66,United States,1
2008,Joey Chestnut ,Mens,59,United States,0
2009,Joey Chestnut ,Mens,68,United States,1
2010,Joey Chestnut ,Mens,54,United States,0
2011,Joey Chestnut ,Mens,62,United States,0
2012,Joey Chestnut ,Mens,68,United States,0
2013,Joey Chestnut ,Mens,69,United States,1
2014,Joey Chestnut ,Mens,61,United States,0
2015,Matt Stonie,Mens,62,United States,0
2016,Joey Chestnut ,Mens,70,United States,1
2017,Joey Chestnut ,Mens,72,United States,1
2018,Joey Chestnut ,Mens,74,United States,1
2019,Joey Chestnut ,Mens,71,United States,0
2011,Sonya Thomas,Womens,40,United States,1
2012,Sonya Thomas,Womens,45,United States,1
2013,Sonya Thomas,Womens,36.75,United States,0
2014,Miki Sudo,Womens,34,United States,0
2015,Miki Sudo,Womens,38,United States,0
2016,Miki Sudo,Womens,38.5,United States,0
2017,Miki Sudo,Womens,41,United States,0
2018,Miki Sudo,Womens,37,United States,0
2019,Miki Sudo,Womens,31,United States,0